number,name,content
1111111111,Aaron,i really like the way you sing but don t give up your day job
2222222222,Belle,income tax is a real cash cow for the government
3333333333,Celine,i m glad you want to prepare the report by yourself just be sure that you don t bite off more than you can chew
4444444444,Demitrius,there seems to have been a misunderstanding i d like to explain what happened just to clear the air
5555555555,Elymas,he tried mountain climbing but he simply was not cut out for it
6666666666,Fahad,these are the last volunteers we could find we really had to scrape the bottom of the barrel to find them
7777777777,Gabbie,he offered to help even though he doesn t know me he s a real class act
8888888888,Hedin,if you are ever going to improve your english skills you must start getting to class on time and doing your homework why don t you clean up your act
9999999999,Irven,you have been late for work every day this week if you want to keep this job you must get your act together
0000000000,Jacky,i heard that you are looking for partners in your new investment if you don t mind i would like to get in on a piece of the action
1111111111,Aaron,people s intentions can be judged better by what they do than what they say
2222222222,Belle,the days are getting longer and the flowers are blooming spring is in the air
3333333333,Celine,Jack was really angry i thought he was going to go ape
4444444444,Demitrius,i researched your case but there are not any black and white answers your situation seems to fall into a grey area
5555555555,Elymas,the crowd was agitated everyone was up in arms over the government decision
6666666666,Fahad,do you know how to activate the dictionary in the phone
7777777777,Gabbie,although he is not easy to work for you have to give him credit for managing the company well
8888888888,Hedin,don t trust jane she acts friendly but she is always going behind someone s back
9999999999,Irven, the house has been full of activity all day.
0000000000,Jacky,john did all of his homework before supper he sure is an eager beaver
